locus,ClinVar_ID,Pearl,Label,Category,transform,SFI,spectral_gap_disruption,spectral_gap_wt,spectral_gap_mut,eigenvalue_shifts_mean,eigenvector_angles_mean
HBB,VCV000015208,True,Pathogenic,missense,baseline,0.2118384570633346,0.000749511112072207,0.04183198934405483,0.04258150045612704,0.0063364689507732054,0.40945870828877884
HBB,VCV000015208,True,Pathogenic,missense,threshold_keep_0.75,0.21185043847084029,0.0007534431503070926,0.041854610108211635,0.04260805325851873,0.0063372182477424155,0.40949126103431077
HBB,VCV000015208,True,Pathogenic,missense,threshold_keep_0.50,0.19373402436175602,0.0010976939460125915,0.0398405536959436,0.040938247641956194,0.0061235020883554266,0.25907374504186165
HBB,VCV000015208,True,Pathogenic,missense,window_40,0.6831519903041203,0.0005903193387382238,0.06661137482566053,0.06720169416439875,0.00874351769979468,1.0439945366095824
HBB,VCV000015208,True,Pathogenic,missense,window_30,0.5429584491608672,7.24336277743709e-05,0.07707406363542665,0.07714649726320102,0.011997724185781386,0.8859800452434192
HBB,VCV000015208,True,Pathogenic,missense,coverage_keep_0.75,0.2993506232243098,0.000870299669437552,0.031889970583199506,0.03276027025263706,0.0294467748634001,0.522680990228085
HBB,VCV000015208,True,Pathogenic,missense,coverage_keep_0.50,0.4466478926226792,0.007595074075780469,0.01291652687517494,0.02051160095095541,0.022552048315533632,0.7357999486371551
HBB,VCV000015208,True,Pathogenic,missense,degree_preserving_null,0.9763807957753076,0.001905102019065783,0.002049190917549656,0.00014408889848387292,0.004259207551924878,0.9710963823412304
HBB,VCV000015208,True,Pathogenic,missense,weight_shuffled_null,1.0486624855776945,0.06280895855844382,0.07282128099532803,0.010012322436884213,0.04939169309146065,1.0016148115413968
HBB,VCV000811500,True,Pathogenic,missense,baseline,0.2118384570633346,0.000749511112072207,0.04183198934405483,0.04258150045612704,0.0063364689507732054,0.40945870828877884
HBB,VCV000811500,True,Pathogenic,missense,threshold_keep_0.75,0.21185043847084029,0.0007534431503070926,0.041854610108211635,0.04260805325851873,0.0063372182477424155,0.40949126103431077
HBB,VCV000811500,True,Pathogenic,missense,threshold_keep_0.50,0.19373402436175602,0.0010976939460125915,0.0398405536959436,0.040938247641956194,0.0061235020883554266,0.25907374504186165
HBB,VCV000811500,True,Pathogenic,missense,window_40,0.6831519903041203,0.0005903193387382238,0.06661137482566053,0.06720169416439875,0.00874351769979468,1.0439945366095824
HBB,VCV000811500,True,Pathogenic,missense,window_30,0.5429584491608672,7.24336277743709e-05,0.07707406363542665,0.07714649726320102,0.011997724185781386,0.8859800452434192
HBB,VCV000811500,True,Pathogenic,missense,coverage_keep_0.75,1.0140209243061329,0.0037727483201223655,0.02686367096905223,0.023090922648929865,0.02286844478221618,1.1954583402195995
HBB,VCV000811500,True,Pathogenic,missense,coverage_keep_0.50,1.3133313006788006,0.0029438731429893145,0.005408658204777629,0.0024647850617883146,0.031303448228128694,1.1343368813601913
HBB,VCV000811500,True,Pathogenic,missense,degree_preserving_null,0.9894254372219566,0.0038345940686361738,0.00029475024583929107,0.004129344314475465,0.010827706280395153,0.9294841469740249
HBB,VCV000811500,True,Pathogenic,missense,weight_shuffled_null,1.098073669529361,0.007018831437949624,0.008246487757731458,0.015265319195681082,0.07858505449014926,1.0184232576582302
HBB,VCV002664746,True,Pathogenic,missense,baseline,0.2118384570633346,0.000749511112072207,0.04183198934405483,0.04258150045612704,0.0063364689507732054,0.40945870828877884
HBB,VCV002664746,True,Pathogenic,missense,threshold_keep_0.75,0.21185043847084029,0.0007534431503070926,0.041854610108211635,0.04260805325851873,0.0063372182477424155,0.40949126103431077
HBB,VCV002664746,True,Pathogenic,missense,threshold_keep_0.50,0.19373402436175602,0.0010976939460125915,0.0398405536959436,0.040938247641956194,0.0061235020883554266,0.25907374504186165
HBB,VCV002664746,True,Pathogenic,missense,window_40,0.6831519903041203,0.0005903193387382238,0.06661137482566053,0.06720169416439875,0.00874351769979468,1.0439945366095824
HBB,VCV002664746,True,Pathogenic,missense,window_30,0.5429584491608672,7.24336277743709e-05,0.07707406363542665,0.07714649726320102,0.011997724185781386,0.8859800452434192
HBB,VCV002664746,True,Pathogenic,missense,coverage_keep_0.75,0.7865621958217537,0.00030207787877896755,0.029476349405534952,0.029174271526755984,0.04020129591823039,0.9571904702086341
HBB,VCV002664746,True,Pathogenic,missense,coverage_keep_0.50,1.55791490965919,0.0008423831553948206,0.017563636664574188,0.016721253509179367,0.030492428589247573,1.2358343290735994
HBB,VCV002664746,True,Pathogenic,missense,degree_preserving_null,1.0065055261937843,0.0015776159871286088,0.0015870710835322527,9.455096403643887e-06,0.008649512369223077,0.9824999741972452
HBB,VCV002664746,True,Pathogenic,missense,weight_shuffled_null,0.9306630190496186,0.00891483477432553,0.034378163372917436,0.025463328598591906,0.02908240574914796,0.946830748427745
HBB,VCV002024192,True,Pathogenic,splice_acceptor,baseline,0.04241409603487935,0.0011817187605457982,0.04098189973042622,0.04216361849097202,0.006161173152257356,0.10222830974823871
HBB,VCV002024192,True,Pathogenic,splice_acceptor,threshold_keep_0.75,0.14082683023611658,0.0011741932019480941,0.041002355798886565,0.04217654900083466,0.0061659382604478405,0.3187657698640705
HBB,VCV002024192,True,Pathogenic,splice_acceptor,threshold_keep_0.50,0.3570311541286597,0.0013939154512710716,0.0393078882493374,0.04070180370060847,0.005794178268544118,0.5410420295550771
HBB,VCV002024192,True,Pathogenic,splice_acceptor,window_40,0.29498021917149775,0.0009001079424717645,0.06891265958889274,0.0698127675313645,0.013499112969096252,0.4491665986110303
HBB,VCV002024192,True,Pathogenic,splice_acceptor,window_30,0.5673517379811636,0.0012501987306481332,0.08167627117436324,0.08292646990501137,0.017271101417851528,0.8838882988399547
HBB,VCV002024192,True,Pathogenic,splice_acceptor,coverage_keep_0.75,0.9290211450913755,0.021899454923318587,0.011699104252727986,0.03359855917604657,0.0298005271393111,0.9999923599182936
HBB,VCV002024192,True,Pathogenic,splice_acceptor,coverage_keep_0.50,0.8185307028947819,0.013038823102403454,0.0050004384373811914,0.018039261539784645,0.01969935812703696,0.8493927927345396
HBB,VCV002024192,True,Pathogenic,splice_acceptor,degree_preserving_null,1.2989313672667464,0.00025147938452761405,0.0007905511104434364,0.0010420304949710505,0.004243528195701195,1.062614144867367
HBB,VCV002024192,True,Pathogenic,splice_acceptor,weight_shuffled_null,1.0504597846806152,0.049553231639531514,0.03429973545328352,0.08385296709281503,0.03105291445989315,1.0039279093197733
HBB,VCV000869358,True,Pathogenic,frameshift,baseline,0.07361827700870442,0.0012212222674833281,0.04120202480997759,0.04242324707746092,0.012764855834580424,0.1789808620190999
HBB,VCV000869358,True,Pathogenic,frameshift,threshold_keep_0.75,0.03367709676665458,0.0012203357686329103,0.04121972370399181,0.04244005947262472,0.012765759782621131,0.06598378819921336
HBB,VCV000869358,True,Pathogenic,frameshift,threshold_keep_0.50,0.03232606890240815,0.001326246610106642,0.03945087166992718,0.040777118280033824,0.012481008669936369,0.06358374880561696
HBB,VCV000869358,True,Pathogenic,frameshift,window_40,0.5117198328086138,0.0001862888781265365,0.06804154440318294,0.06822783328130948,0.0165958724241057,0.8606828024094023
HBB,VCV000869358,True,Pathogenic,frameshift,window_30,0.1301237881646956,0.00034823201504141643,0.07916865005768048,0.07882041804263906,0.020564439798662997,0.23315039809217877
HBB,VCV000869358,True,Pathogenic,frameshift,coverage_keep_0.75,0.7709868946118303,0.0020244735120244044,0.02735809624390804,0.029382569755932446,0.030422595119587177,0.9580373893632453
HBB,VCV000869358,True,Pathogenic,frameshift,coverage_keep_0.50,1.276952981442668,0.013811659875301911,0.01697993432486129,0.003168274449559378,0.022812611412077154,1.03192513737734
