ClinVar_ID,SFI,eigenvalue_shifts_mean,eigenvalue_shifts_max,eigenvector_angles_mean,eigenvector_angles_max,spectral_gap_disruption,spectral_gap_wt,spectral_gap_mut,matrix_shape
VCV000017660,0.10102235446262511,5.481548103608978e-05,0.0003573159474056231,0.22222360643167516,1.9999981732735683,3.615550404918906e-06,0.006004500099891564,0.006000884549486645,400x400
VCV000017661,2.536447534525635e-05,5.234661410327377e-05,0.00034259804692726714,1.5313237978887962e-06,4.1379761939186466e-06,3.380980627590291e-06,0.005901145040920169,0.005897764060292579,400x400
VCV000017662,0.5749609001743758,0.0022570736470948756,0.015139631701599529,0.6681110139742282,1.9995981556557305,0.00024506809523460165,0.005989003720834198,0.005743935625599596,400x400
VCV000017665,0.0005281234836541751,0.0006850978501871641,0.004472039742610706,0.0004294277319547075,0.0022188115376775563,3.692316282451983e-05,0.0060217464248923875,0.005984823262067868,400x400
VCV000017666,0.0005331932062693914,0.0006948838154495402,0.0045058251648867065,0.00041296591377826264,0.0020110519683895767,3.599259549545101e-05,0.005944611569439047,0.005908618973943596,400x400
VCV000017667,0.0005480327876063634,0.0006898639129421914,0.004464845871393175,0.0004675527426579605,0.0024600537913082032,3.623143683137084e-05,0.00603007076190136,0.005993839325069989,400x400
VCV000017669,0.0005690307127714604,0.0007163519928453815,0.004643851846286309,0.0004923188313185919,0.002773830305992764,3.555974608350325e-05,0.006136078967246546,0.006100519221163043,400x400
VCV000017670,2.925866525640731e-05,5.8972041960000304e-05,0.00036532278185383293,2.2208610995037383e-06,6.170951039496941e-06,3.423849678890409e-06,0.006066448976794843,0.006063025127115953,400x400
VCV000017671,2.8568284452679857e-05,5.724733431245691e-05,0.0003545195330748041,2.3066587562237117e-06,6.810501102516575e-06,3.228322094930673e-06,0.005959374749416647,0.005956146427321716,400x400
VCV000017672,2.9586657130866812e-05,5.9103131448358586e-05,0.000363830815690136,2.5253668167622855e-06,6.986799820474232e-06,3.498536634775895e-06,0.006093121066506611,0.006089622529871835,400x400
VCV000017673,0.0005732740515973311,0.0007043292231258853,0.004540129374302093,0.0005071226942853594,0.002621280094527778,3.470543996805797e-05,0.006012397720297267,0.005977692280329209,400x400
VCV000017674,0.0005978091206018626,0.000729952317492477,0.00468810780944634,0.0005185904236088742,0.0027390508917215506,3.7708169760721985e-05,0.006035335987888894,0.005997627818128172,400x400
VCV000017675,3.069133091188921e-05,5.559994484285049e-05,0.0002414840894192638,4.557090855512098e-06,9.679054812972154e-06,1.840986811810566e-06,0.006162509223705559,0.006160668236893749,400x400
VCV000017676,3.069133091188921e-05,5.559994484285049e-05,0.0002414840894192638,4.557090855512098e-06,9.679054812972154e-06,1.840986811810566e-06,0.006162509223705559,0.006160668236893749,400x400
VCV000017677,0.000549509377922209,0.0004325737113707012,0.0012358357679096987,0.0006272807905966577,0.0013460687591546616,6.470927813135956e-06,0.006117486827541911,0.006111015899728775,400x400
VCV000017679,0.00048059821198041304,0.0004238360861064969,0.0015118648432951576,0.000500185036176474,0.0010154263127643004,1.0601954010504115e-05,0.005896527151971894,0.00588592519796139,400x400
VCV000017682,2.9026997462587027e-05,5.839061872023519e-05,0.0003634937519177983,2.331697380915839e-06,6.1519204214155465e-06,3.527866504613418e-06,0.006053121901104763,0.006049594034600149,400x400
VCV000017683,0.0005129374653765239,0.0006816707809188003,0.004442650475831894,0.00039301319136276895,0.0019480763808830126,3.626905232518695e-05,0.005984024256462078,0.005947755204136891,400x400
VCV000017684,0.0005455938010179488,0.0007083606440354501,0.004536979073706371,0.0004154783250193386,0.0018983021866897376,3.8511532461647444e-05,0.0060325305517062305,0.005994019019244583,400x400
VCV000017685,0.0005368045989833067,0.0006952269934531594,0.004463639835683653,0.00041400018400689694,0.0019171832722453264,3.884497862484144e-05,0.005994189555906281,0.005955344577281439,400x400
VCV000017693,2.7128219865953194e-05,5.586572245123514e-05,0.0003653275285631641,1.8191433062512512e-06,4.505975602975276e-06,3.7652856649441485e-06,0.006103527133476861,0.006099761847811917,400x400
VCV000017694,0.10101806280393529,3.82827041230661e-05,0.0001010686744431083,0.22222536877015056,1.9999894812946442,1.472580103576912e-07,0.005922373446540472,0.005922226188530114,400x400
VCV000017695,0.10101806280393529,3.82827041230661e-05,0.0001010686744431083,0.22222536877015056,1.9999894812946442,1.472580103576912e-07,0.005922373446540472,0.005922226188530114,400x400
VCV000037386,0.0005265863575489261,0.0007042802461032468,0.004576246479457383,0.00039289187258082257,0.0017890123508492728,3.664893097707952e-05,0.006053439756888948,0.006016790825911869,400x400
VCV000037387,0.0005181725056763123,0.0006752576009085119,0.004418842548352633,0.000418699442450247,0.0022684192846855744,3.503224198859924e-05,0.0059484706408269635,0.005913438398838364,400x400
VCV000037388,2.8383899136214924e-05,5.73992865195823e-05,0.0003592044805970085,2.1662721404346207e-06,6.0771610623788774e-06,3.4041696953829997e-06,0.00608131768262422,0.006077913512928837,400x400
VCV000037389,2.7365804141482426e-05,5.5286499013886005e-05,0.00034739465045688367,1.986113240660793e-06,5.723177600058804e-06,3.130412304648382e-06,0.005809109748450936,0.005805979336146287,400x400
VCV000037390,2.8319787529181666e-05,5.74267217082614e-05,0.00035781670421469736,2.179437957389791e-06,6.244894730111916e-06,3.3296223221363636e-06,0.006094405057266045,0.006091075434943909,400x400
VCV000037391,0.1772359396235669,0.0006795487217126897,0.00447028764657699,0.22261991288111943,1.999789227557176,3.52768385191507e-05,0.006054560141700054,0.006019283303180903,400x400
VCV000037392,2.8168537320000822e-05,5.831993830597879e-05,0.00038590808447108715,1.9900306955768066e-06,4.888567767480367e-06,3.996911710230783e-06,0.006014642931945684,0.006010646020235454,400x400
