Position,Bin,Effect_Level,Effect_Strength,SSIM,Delta_SSIM,Near_Enhancer,Near_CTCF,Enhancer_Dist,CTCF_Dist,In_BRCA1_Gene
42900000,0,severe,0.1,0.9932,0.0068,false,false,29000,29437,false
42900000,0,strong,0.3,0.9963,0.0037,false,false,29000,29437,false
42900000,0,moderate,0.5,0.9982,0.0018,false,false,29000,29437,false
42900000,0,weak,0.8,0.9997,0.0003,false,false,29000,29437,false
42902000,2,severe,0.1,0.9865,0.0135,false,false,27000,27437,false
42902000,2,strong,0.3,0.9926,0.0074,false,false,27000,27437,false
42902000,2,moderate,0.5,0.9964,0.0036,false,false,27000,27437,false
42902000,2,weak,0.8,0.9995,0.0005,false,false,27000,27437,false
42904000,4,severe,0.1,0.9877,0.0123,false,false,25000,25437,false
42904000,4,strong,0.3,0.9933,0.0067,false,false,25000,25437,false
42904000,4,moderate,0.5,0.9968,0.0032,false,false,25000,25437,false
42904000,4,weak,0.8,0.9995,0.0005,false,false,25000,25437,false
42906000,6,severe,0.1,0.9876,0.0124,false,false,23000,23437,false
42906000,6,strong,0.3,0.9933,0.0067,false,false,23000,23437,false
42906000,6,moderate,0.5,0.9968,0.0032,false,false,23000,23437,false
42906000,6,weak,0.8,0.9995,0.0005,false,false,23000,23437,false
42908000,8,severe,0.1,0.9865,0.0135,false,false,21000,21437,false
42908000,8,strong,0.3,0.9927,0.0073,false,false,21000,21437,false
42908000,8,moderate,0.5,0.9965,0.0035,false,false,21000,21437,false
42908000,8,weak,0.8,0.9995,0.0005,false,false,21000,21437,false
42910000,10,severe,0.1,0.9876,0.0124,false,false,19000,19437,false
42910000,10,strong,0.3,0.9933,0.0067,false,false,19000,19437,false
42910000,10,moderate,0.5,0.9967,0.0033,false,false,19000,19437,false
42910000,10,weak,0.8,0.9995,0.0005,false,false,19000,19437,false
42912000,12,severe,0.1,0.9874,0.0126,false,false,17000,17437,false
42912000,12,strong,0.3,0.9932,0.0068,false,false,17000,17437,false
42912000,12,moderate,0.5,0.9967,0.0033,false,false,17000,17437,false
42912000,12,weak,0.8,0.9995,0.0005,false,false,17000,17437,false
42914000,14,severe,0.1,0.9895,0.0105,false,false,15000,15437,false
42914000,14,strong,0.3,0.9943,0.0057,false,false,15000,15437,false
42914000,14,moderate,0.5,0.9973,0.0027,false,false,15000,15437,false
42914000,14,weak,0.8,0.9996,0.0004,false,false,15000,15437,false
42916000,16,severe,0.1,0.9905,0.0095,false,false,13000,13437,false
42916000,16,strong,0.3,0.9949,0.0051,false,false,13000,13437,false
42916000,16,moderate,0.5,0.9975,0.0025,false,false,13000,13437,false
42916000,16,weak,0.8,0.9996,0.0004,false,false,13000,13437,false
42918000,18,severe,0.1,0.9923,0.0077,false,false,11000,11437,false
42918000,18,strong,0.3,0.9958,0.0042,false,false,11000,11437,false
42918000,18,moderate,0.5,0.998,0.002,false,false,11000,11437,false
42918000,18,weak,0.8,0.9997,0.0003,false,false,11000,11437,false
42920000,20,severe,0.1,0.9919,0.0081,false,false,9000,9437,false
42920000,20,strong,0.3,0.9956,0.0044,false,false,9000,9437,false
42920000,20,moderate,0.5,0.9979,0.0021,false,false,9000,9437,false
42920000,20,weak,0.8,0.9997,0.0003,false,false,9000,9437,false
42922000,22,severe,0.1,0.9928,0.0072,false,false,7000,7437,false
42922000,22,strong,0.3,0.9961,0.0039,false,false,7000,7437,false
42922000,22,moderate,0.5,0.9981,0.0019,false,false,7000,7437,false
42922000,22,weak,0.8,0.9997,0.0003,false,false,7000,7437,false
42924000,24,severe,0.1,0.9932,0.0068,false,false,5000,5437,false
42924000,24,strong,0.3,0.9964,0.0036,false,false,5000,5437,false
42924000,24,moderate,0.5,0.9983,0.0017,false,false,5000,5437,false
42924000,24,weak,0.8,0.9997,0.0003,false,false,5000,5437,false
42926000,26,severe,0.1,0.9866,0.0134,true,false,3000,3437,false
42926000,26,strong,0.3,0.9926,0.0074,true,false,3000,3437,false
42926000,26,moderate,0.5,0.9964,0.0036,true,false,3000,3437,false
42926000,26,weak,0.8,0.9995,0.0005,true,false,3000,3437,false
42928000,28,severe,0.1,0.9419,0.0581,true,true,1000,1437,false
42928000,28,strong,0.3,0.9649,0.0351,true,true,1000,1437,false
42928000,28,moderate,0.5,0.9847,0.0153,true,true,1000,1437,false
42928000,28,weak,0.8,0.9977,0.0023,true,true,1000,1437,false
42930000,30,severe,0.1,0.9447,0.0553,true,true,1000,563,false
42930000,30,strong,0.3,0.9665,0.0335,true,true,1000,563,false
42930000,30,moderate,0.5,0.9854,0.0146,true,true,1000,563,false
42930000,30,weak,0.8,0.9978,0.0022,true,true,1000,563,false
42932000,32,severe,0.1,0.9875,0.0125,true,false,3000,2563,false
42932000,32,strong,0.3,0.9931,0.0069,true,false,3000,2563,false
42932000,32,moderate,0.5,0.9967,0.0033,true,false,3000,2563,false
42932000,32,weak,0.8,0.9995,0.0005,true,false,3000,2563,false
42934000,34,severe,0.1,0.9955,0.0045,false,false,5000,3930,false
42934000,34,strong,0.3,0.9975,0.0025,false,false,5000,3930,false
42934000,34,moderate,0.5,0.9988,0.0012,false,false,5000,3930,false
42934000,34,weak,0.8,0.9998,0.0002,false,false,5000,3930,false
42936000,36,severe,0.1,0.995,0.005,false,true,7000,1930,false
42936000,36,strong,0.3,0.9959,0.0041,false,true,7000,1930,false
42936000,36,moderate,0.5,0.9991,0.0009,false,true,7000,1930,false
42936000,36,weak,0.8,0.9999,0.0001,false,true,7000,1930,false
42938000,38,severe,0.1,0.9948,0.0052,false,true,9000,70,false
42938000,38,strong,0.3,0.9959,0.0041,false,true,9000,70,false
42938000,38,moderate,0.5,0.9991,0.0009,false,true,9000,70,false
42938000,38,weak,0.8,0.9999,0.0001,false,true,9000,70,false
42940000,40,severe,0.1,0.9962,0.0038,false,false,11000,2070,false
42940000,40,strong,0.3,0.9979,0.0021,false,false,11000,2070,false
42940000,40,moderate,0.5,0.999,0.001,false,false,11000,2070,false
42940000,40,weak,0.8,0.9998,0.0002,false,false,11000,2070,false
42942000,42,severe,0.1,0.9962,0.0038,false,false,13000,4070,false
42942000,42,strong,0.3,0.9979,0.0021,false,false,13000,4070,false
42942000,42,moderate,0.5,0.999,0.001,false,false,13000,4070,false
42942000,42,weak,0.8,0.9998,0.0002,false,false,13000,4070,false
42944000,44,severe,0.1,0.9956,0.0044,false,false,15000,6070,false
42944000,44,strong,0.3,0.9976,0.0024,false,false,15000,6070,false
42944000,44,moderate,0.5,0.9989,0.0011,false,false,15000,6070,false
42944000,44,weak,0.8,0.9998,0.0002,false,false,15000,6070,false
42946000,46,severe,0.1,0.9959,0.0041,false,false,17000,8070,false
42946000,46,strong,0.3,0.9978,0.0022,false,false,17000,8070,false
42946000,46,moderate,0.5,0.9989,0.0011,false,false,17000,8070,false
42946000,46,weak,0.8,0.9998,0.0002,false,false,17000,8070,false
42948000,48,severe,0.1,0.9966,0.0034,false,false,16500,10070,false
42948000,48,strong,0.3,0.9981,0.0019,false,false,16500,10070,false
42948000,48,moderate,0.5,0.9991,0.0009,false,false,16500,10070,false
42948000,48,weak,0.8,0.9999,0.0001,false,false,16500,10070,false
42950000,50,severe,0.1,0.9968,0.0032,false,false,14500,12070,false
42950000,50,strong,0.3,0.9982,0.0018,false,false,14500,12070,false
42950000,50,moderate,0.5,0.9991,0.0009,false,false,14500,12070,false
42950000,50,weak,0.8,0.9999,0.0001,false,false,14500,12070,false
42952000,52,severe,0.1,0.9962,0.0038,false,false,12500,12377,false
42952000,52,strong,0.3,0.998,0.002,false,false,12500,12377,false
42952000,52,moderate,0.5,0.999,0.001,false,false,12500,12377,false
42952000,52,weak,0.8,0.9998,0.0002,false,false,12500,12377,false
42954000,54,severe,0.1,0.9962,0.0038,false,false,10500,10377,false
42954000,54,strong,0.3,0.9979,0.0021,false,false,10500,10377,false
42954000,54,moderate,0.5,0.999,0.001,false,false,10500,10377,false
42954000,54,weak,0.8,0.9998,0.0002,false,false,10500,10377,false
42956000,56,severe,0.1,0.9963,0.0037,false,false,8500,8377,false
42956000,56,strong,0.3,0.998,0.002,false,false,8500,8377,false
42956000,56,moderate,0.5,0.999,0.001,false,false,8500,8377,false
42956000,56,weak,0.8,0.9999,0.0001,false,false,8500,8377,false
42958000,58,severe,0.1,0.9966,0.0034,false,false,6500,6377,false
42958000,58,strong,0.3,0.9982,0.0018,false,false,6500,6377,false
42958000,58,moderate,0.5,0.9991,0.0009,false,false,6500,6377,false
42958000,58,weak,0.8,0.9999,0.0001,false,false,6500,6377,false
42960000,60,severe,0.1,0.9974,0.0026,false,false,4500,4377,false
42960000,60,strong,0.3,0.9986,0.0014,false,false,4500,4377,false
42960000,60,moderate,0.5,0.9993,0.0007,false,false,4500,4377,false
42960000,60,weak,0.8,0.9999,0.0001,false,false,4500,4377,false
42962000,62,severe,0.1,0.9911,0.0089,true,false,2500,2377,false
42962000,62,strong,0.3,0.993,0.007,true,false,2500,2377,false
42962000,62,moderate,0.5,0.9982,0.0018,true,false,2500,2377,false
42962000,62,weak,0.8,0.9997,0.0003,true,false,2500,2377,false
42964000,64,severe,0.1,0.9742,0.0258,true,true,500,377,false
42964000,64,strong,0.3,0.9843,0.0157,true,true,500,377,false
42964000,64,moderate,0.5,0.9933,0.0067,true,true,500,377,false
42964000,64,weak,0.8,0.999,0.001,true,true,500,377,false
42966000,66,severe,0.1,0.9832,0.0168,true,true,1500,1623,false
42966000,66,strong,0.3,0.9888,0.0112,true,true,1500,1623,false
42966000,66,moderate,0.5,0.9958,0.0042,true,true,1500,1623,false
42966000,66,weak,0.8,0.9994,0.0006,true,true,1500,1623,false
42968000,68,severe,0.1,0.9953,0.0047,false,false,3500,3623,false
42968000,68,strong,0.3,0.9975,0.0025,false,false,3500,3623,false
42968000,68,moderate,0.5,0.9988,0.0012,false,false,3500,3623,false
42968000,68,weak,0.8,0.9998,0.0002,false,false,3500,3623,false
42970000,70,severe,0.1,0.9968,0.0032,false,false,5500,5623,false
42970000,70,strong,0.3,0.9983,0.0017,false,false,5500,5623,false
42970000,70,moderate,0.5,0.9992,0.0008,false,false,5500,5623,false
42970000,70,weak,0.8,0.9999,0.0001,false,false,5500,5623,false
42972000,72,severe,0.1,0.997,0.003,false,false,7500,7623,false
42972000,72,strong,0.3,0.9984,0.0016,false,false,7500,7623,false
42972000,72,moderate,0.5,0.9992,0.0008,false,false,7500,7623,false
42972000,72,weak,0.8,0.9999,0.0001,false,false,7500,7623,false
42974000,74,severe,0.1,0.9972,0.0028,false,false,7500,6938,false
42974000,74,strong,0.3,0.9985,0.0015,false,false,7500,6938,false
42974000,74,moderate,0.5,0.9993,0.0007,false,false,7500,6938,false
42974000,74,weak,0.8,0.9999,0.0001,false,false,7500,6938,false
42976000,76,severe,0.1,0.9971,0.0029,false,false,5500,4938,false
42976000,76,strong,0.3,0.9984,0.0016,false,false,5500,4938,false
42976000,76,moderate,0.5,0.9992,0.0008,false,false,5500,4938,false
42976000,76,weak,0.8,0.9999,0.0001,false,false,5500,4938,false
42978000,78,severe,0.1,0.9933,0.0067,false,false,3500,2938,false
42978000,78,strong,0.3,0.994,0.006,false,false,3500,2938,false
42978000,78,moderate,0.5,0.9989,0.0011,false,false,3500,2938,false
42978000,78,weak,0.8,0.9998,0.0002,false,false,3500,2938,false
42980000,80,severe,0.1,0.9738,0.0262,true,true,1500,938,false
42980000,80,strong,0.3,0.9837,0.0163,true,true,1500,938,false
42980000,80,moderate,0.5,0.9934,0.0066,true,true,1500,938,false
42980000,80,weak,0.8,0.999,0.001,true,true,1500,938,false
42982000,82,severe,0.1,0.9568,0.0432,true,true,500,1062,false
42982000,82,strong,0.3,0.9743,0.0257,true,true,500,1062,false
42982000,82,moderate,0.5,0.9885,0.0115,true,true,500,1062,false
42982000,82,weak,0.8,0.9983,0.0017,true,true,500,1062,false
42984000,84,severe,0.1,0.9893,0.0107,true,false,2500,3062,false
42984000,84,strong,0.3,0.9941,0.0059,true,false,2500,3062,false
42984000,84,moderate,0.5,0.9971,0.0029,true,false,2500,3062,false
42984000,84,weak,0.8,0.9996,0.0004,true,false,2500,3062,false
42986000,86,severe,0.1,0.9962,0.0038,false,false,4500,5062,false
42986000,86,strong,0.3,0.998,0.002,false,false,4500,5062,false
42986000,86,moderate,0.5,0.999,0.001,false,false,4500,5062,false
42986000,86,weak,0.8,0.9999,0.0001,false,false,4500,5062,false
42988000,88,severe,0.1,0.9964,0.0036,false,false,6500,7062,false
42988000,88,strong,0.3,0.9981,0.0019,false,false,6500,7062,false
42988000,88,moderate,0.5,0.9991,0.0009,false,false,6500,7062,false
42988000,88,weak,0.8,0.9999,0.0001,false,false,6500,7062,false
42990000,90,severe,0.1,0.997,0.003,false,false,8500,8141,false
42990000,90,strong,0.3,0.9984,0.0016,false,false,8500,8141,false
42990000,90,moderate,0.5,0.9992,0.0008,false,false,8500,8141,false
42990000,90,weak,0.8,0.9999,0.0001,false,false,8500,8141,false
42992000,92,severe,0.1,0.9975,0.0025,false,false,6900,6141,false
42992000,92,strong,0.3,0.9986,0.0014,false,false,6900,6141,false
42992000,92,moderate,0.5,0.9993,0.0007,false,false,6900,6141,false
42992000,92,weak,0.8,0.9999,0.0001,false,false,6900,6141,false
42994000,94,severe,0.1,0.9972,0.0028,false,false,4900,4141,false
42994000,94,strong,0.3,0.9985,0.0015,false,false,4900,4141,false
42994000,94,moderate,0.5,0.9993,0.0007,false,false,4900,4141,false
42994000,94,weak,0.8,0.9999,0.0001,false,false,4900,4141,false
42996000,96,severe,0.1,0.9919,0.0081,true,false,2900,2141,false
42996000,96,strong,0.3,0.9937,0.0063,true,false,2900,2141,false
42996000,96,moderate,0.5,0.9983,0.0017,true,false,2900,2141,false
42996000,96,weak,0.8,0.9997,0.0003,true,false,2900,2141,false
42998000,98,severe,0.1,0.971,0.029,true,true,900,141,false
42998000,98,strong,0.3,0.9828,0.0172,true,true,900,141,false
42998000,98,moderate,0.5,0.9924,0.0076,true,true,900,141,false
42998000,98,weak,0.8,0.9989,0.0011,true,true,900,141,false
43000000,100,severe,0.1,0.9739,0.0261,true,true,1100,1859,false
43000000,100,strong,0.3,0.984,0.016,true,true,1100,1859,false
43000000,100,moderate,0.5,0.9931,0.0069,true,true,1100,1859,false
43000000,100,weak,0.8,0.9989,0.0011,true,true,1100,1859,false
43002000,102,severe,0.1,0.9935,0.0065,false,false,3100,2047,false
43002000,102,strong,0.3,0.9956,0.0044,false,false,3100,2047,false
43002000,102,moderate,0.5,0.9986,0.0014,false,false,3100,2047,false
43002000,102,weak,0.8,0.9998,0.0002,false,false,3100,2047,false
